time,magnetizing current,I1 A,I2 A,Q1,Q2,Q3,Q4
5.825e-06,0.6753983999947951,-18.365053150445693,133.28316085308342,0,1,1,0
5.850000000000001e-06,0.6464120815865625,-18.437061098231172,133.58431225872414,0,1,1,0
5.8750000000000005e-06,0.6178888309236223,-18.5089826063471,133.88810006089506,0,1,1,0
5.9e-06,0.5898070311253885,-18.580849329493336,134.19459452433108,0,1,1,0
5.925000000000001e-06,0.5621467012892557,-18.652691739508995,134.50386908558775,0,1,1,0
5.950000000000001e-06,0.5348893279000924,-18.724539323086674,134.81600055690737,0,1,1,0
5.975e-06,0.5080177179719306,-18.796420760203713,135.1310693472295,0,1,1,0
6e-06,0.48151587058919754,-18.868338866970134,135.44898316291534,0,1,1,0
6.025000000000001e-06,0.4553688641030207,-18.940283408050036,135.7695659050714,0,1,1,0
6.0500000000000005e-06,0.4295627567096243,-19.012278063994735,136.09288574493053,0,1,1,0
6.075e-06,0.40408449851818284,-19.08434604447834,136.41901380097568,0,1,1,0
6.100000000000001e-06,0.37892185352420027,-19.156510192223646,136.74802432023492,0,1,1,0
6.125000000000001e-06,0.3540633301564631,-19.228793080437338,137.07999487415663,0,1,1,0
6.15e-06,0.3294981192724131,-19.30121710508798,137.41500657052273,0,1,1,0
6.175e-06,0.3052160386473743,-19.37380457321457,137.7531442830336,0,1,1,0
6.200000000000001e-06,0.2812074831444715,-19.44657778834094,138.09449690039787,0,1,1,0
6.2250000000000005e-06,0.25746337986983686,-19.519559133985847,138.4391575969898,0,1,1,0
6.25e-06,0.23397514771619396,-19.59277115619798,138.7872241273992,0,1,1,0
6.275000000000001e-06,0.2107346607806426,-19.666236646005224,139.13879914750106,0,1,1,0
6.300000000000001e-06,0.18773421521223346,-19.739978722647685,139.49399056501943,0,1,1,0
6.3250000000000004e-06,0.16496649910398492,-19.814020918462255,139.8529119229637,0,1,1,0
6.35e-06,0.14242456509417323,-19.88838726630298,140.21568281978008,0,1,1,0
6.375000000000001e-06,0.12010180538451204,-19.96283369373987,140.58054849387068,0,1,1,0
6.4000000000000006e-06,0.09799192891943678,-20.03718687722248,140.94625164299345,0,1,1,0
6.425e-06,0.07608894050211974,-20.111453638933856,141.31279805605183,0,1,1,0
6.450000000000001e-06,0.05438712164988128,-20.18564053390988,141.6801935889183,0,1,1,0
6.475000000000001e-06,0.03288101301500866,-20.259753867774094,142.0484441655237,0,1,1,0
6.5000000000000004e-06,0.011565398217208235,-20.33379971306414,142.41755577896942,0,1,1,0
6.525e-06,-0.009564711048533067,-20.407783924286097,142.78753449266296,0,1,1,0
6.550000000000001e-06,-0.030677574350821735,-20.481875637419083,143.15838644147783,0,1,1,0
6.5750000000000006e-06,-0.0519738622515208,-20.55627640981408,143.53011783293792,0,1,1,0
6.6e-06,-0.07345842562490164,-20.630991989685935,143.90273494842722,0,1,1,0
6.625000000000001e-06,-0.09513633260164886,-20.7060283532339,144.27624414442576,0,1,1,0
6.650000000000001e-06,-0.11701288242150255,-20.781391718674648,144.65065185377202,0,1,1,0
6.6750000000000005e-06,-0.13909362044139506,-20.85708856143468,145.02596458695297,0,1,1,0
6.7e-06,-0.16138435441900428,-20.933121487247718,145.402159929801,0,1,1,0
6.725000000000001e-06,-0.18389117220662618,-21.009441396063472,145.77885156699793,0,1,1,0
6.750000000000001e-06,-0.2066204610074498,-21.086054956303915,146.15604146707526,0,1,1,0
6.775e-06,-0.22957892836607185,-21.16296915859593,146.53373161160903,0,1,1,0
6.800000000000001e-06,-0.25277362508786066,-21.240191338708026,146.91192399534114,0,1,1,0
6.825000000000001e-06,-0.27621197030810446,-21.317729202636983,147.29062062630214,0,1,1,0
6.8500000000000005e-06,-0.2999017789623969,-21.395590854096028,147.6698235259354,0,1,1,0
6.875e-06,-0.32385129194519635,-21.473784824691336,148.04953472922298,0,1,1,0
6.900000000000001e-06,-0.3480692092848817,-21.55232010711527,148.42975628481273,0,1,1,0
